area,orders,sales,aov
Bhusawal,15,32290.25,2152.6833333333334
Haldia,16,31907.11,1994.194375
Madhyamgram,17,31871.47,1874.7923529411764
Kumbakonam,18,31866.329999999998,1770.3516666666665
Parbhani,13,31841.43,2449.340769230769
Tiruppur,13,31750.17,2442.320769230769
Mango,16,31700.52,1981.2825
Amaravati,14,31517.920000000002,2251.28
Begusarai,19,31483.57,1657.03
Naihati,14,31392.85,2242.3464285714285
Dehradun,16,31388.04,1961.7525
Dhanbad,16,31177.78,1948.61125
Ranchi,18,31086.64,1727.0355555555554
Davanagere,12,30961.239999999998,2580.103333333333
Karimnagar,16,30938.34,1933.64625
Guntur,15,30873.15,2058.21
Hazaribagh,13,30843.09,2372.5453846153846
Kalyan-Dombivli,18,30831.78,1712.8766666666666
Jehanabad,16,30485.36,1905.335
Raurkela Industrial Township,11,30173.379999999997,2743.0345454545454
Secunderabad,14,30051.079999999998,2146.505714285714
Katihar,17,29902.5,1758.9705882352941
Morbi,10,29882.91,2988.291
Saharanpur,15,29423.26,1961.5506666666665
Kanpur,17,29272.23,1721.895882352941
Vijayawada,12,29257.43,2438.119166666667
Malegaon,11,29112.96,2646.632727272727
Anand,12,29044.32,2420.36
Ahmedabad,12,29041.8,2420.15
Dibrugarh,15,28871.11,1924.7406666666668
Jalgaon,15,28807.95,1920.53
Nagercoil,13,28642.79,2203.2915384615385
Pudukkottai,16,28556.11,1784.756875
Madanapalle,9,28305.420000000002,3145.046666666667
Durgapur,17,28129.98,1654.704705882353
Mira-Bhayandar,15,28095.69,1873.0459999999998
Sagar,12,28075.34,2339.6116666666667
Chinsurah,14,27860.44,1990.0314285714285
Bidar,12,27775.42,2314.6183333333333
Thrissur,13,27662.74,2127.903076923077
Jhansi,13,27656.71,2127.4392307692306
Narasaraopet,17,27627.510000000002,1625.1476470588236
Giridih,11,27545.34,2504.121818181818
Sasaram,15,27226.33,1815.0886666666668
Nagaon,13,27187.48,2091.3446153846153
Siliguri,13,27168.94,2089.9184615384615
Coimbatore,14,27102.95,1935.925
New Delhi,10,27078.38,2707.838
Gudivada,13,27063.920000000002,2081.84
Chapra,14,26919.88,1922.8485714285714
Haridwar,14,26882.98,1920.212857142857
Rohtak,15,26670.66,1778.044
Rajpur Sonarpur,10,26647.86,2664.786
Delhi,14,26271.21,1876.5149999999999
Bhavnagar,9,25745.559999999998,2860.6177777777775
Aizawl,13,25545.73,1965.0561538461538
Alwar,10,25413.29,2541.329
Ozhukarai,9,25317.34,2813.0377777777776
Surendranagar Dudhrej,9,24949.47,2772.1633333333334
Indore,9,24908.54,2767.6155555555556
Kochi,8,24893.94,3111.7425
Siwan,8,24855.34,3106.9175
Meerut,11,24795.1,2254.1
Hapur,11,24723.22,2247.5654545454545
Sirsa,15,24471.760000000002,1631.4506666666668
Warangal,12,24467.88,2038.99
South Dumdum,10,24426.36,2442.636
Bally,17,24296.62,1429.2129411764706
Dewas,12,24226.2,2018.8500000000001
Nashik,9,24157.989999999998,2684.221111111111
Mathura,12,24151.57,2012.6308333333334
Khandwa,10,24078.58,2407.858
Tumkur,11,23942.43,2176.5845454545456
Sikar,13,23941.25,1841.6346153846155
Ajmer,13,23690.97,1822.3823076923077
Panvel,15,23560.18,1570.6786666666667
Bhiwandi,9,23362.69,2595.854444444444
Pune,11,23293.21,2117.564545454545
Jamshedpur,11,22794.13,2072.1936363636364
Farrukhabad,13,22561.129999999997,1735.4715384615383
Bahraich,8,22471.41,2808.92625
Ramagundam,11,22301.99,2027.4536363636364
Belgaum,11,22193.98,2017.6345454545453
Mehsana,10,21603.49,2160.349
Kulti,10,21519.11,2151.911
Mirzapur,9,21293.32,2365.9244444444444
Solapur,9,21220.08,2357.786666666667
Bikaner,7,21071.22,3010.174285714286
Tiruvottiyur,7,20987.13,2998.1614285714286
Khora ,11,20925.13,1902.2845454545457
Sri Ganganagar,7,20895.24,2985.034285714286
Kurnool,8,20853.51,2606.68875
Tirupati,11,20669.76,1879.0690909090908
Ujjain,10,20588.15,2058.815
Gurgaon,9,20280.1,2253.3444444444444
Bhilai,10,20156.34,2015.634
Malda,8,20086.11,2510.76375
Vijayanagaram,8,19933.85,2491.73125
Hospet,9,19881.4,2209.0444444444447
Bhatpara,10,19820.989999999998,1982.0989999999997
Varanasi,11,19492.95,1772.0863636363638
Uluberia,9,19402.32,2155.8133333333335
Phagwara,6,19004.14,3167.3566666666666
Munger,9,18735.87,2081.7633333333333
Kolhapur,11,18681.92,1698.3563636363635
Kollam,9,18481.08,2053.4533333333334
Chandigarh,8,18299.239999999998,2287.4049999999997
Katni,11,18271.97,1661.088181818182
Hubli–Dharwad,10,18197.93,1819.7930000000001
Srinagar,9,18102.06,2011.3400000000001
Jaipur,11,18077.07,1643.37
Amravati,7,17994.88,2570.697142857143
Karnal,8,17931.670000000002,2241.4587500000002
Hajipur,9,17393.4,1932.6000000000001
Bhiwani,8,17075.92,2134.49
Hosur,10,16682.88,1668.288
Amroha,7,16484.34,2354.905714285714
Chandrapur,6,16096.23,2682.705
Sangli-Miraj & Kupwad,6,16026.49,2671.0816666666665
Raipur,5,15927.91,3185.582
Surat,5,15903.75,3180.75
Motihari,11,15392.2,1399.290909090909
Tiruchirappalli,8,15260.11,1907.51375
Akola,6,14809.07,2468.1783333333333
Mau,6,14509.86,2418.31
Lucknow,8,13947.349999999999,1743.4187499999998
Kolkata,7,13871.02,1981.5742857142857
Ambarnath,8,13835.24,1729.405
Serampore,7,13781.35,1968.7642857142857
Panipat,7,13731.42,1961.6314285714286
Suryapet,7,13640.94,1948.7057142857143
Patna,6,12896.01,2149.335
Rourkela,4,12870.01,3217.5025
Phusro,4,12744.35,3186.0875
Bhind,7,12443.15,1777.5928571428572
Barasat,4,12424.61,3106.1525
Hyderabad,6,12369.47,2061.5783333333334
Moradabad,5,12095.26,2419.052
Jalandhar,4,12039.84,3009.96
Shimla,5,11787.56,2357.5119999999997
Muzaffarpur,5,11651.300000000001,2330.26
Morena,4,11459.9,2864.975
Kirari Suleman Nagar,7,11442.6,1634.6571428571428
Bharatpur,6,11269.75,1878.2916666666667
Ramgarh,7,10738.23,1534.032857142857
Cuttack,4,10532.3,2633.075
Gopalpur,7,9707.97,1386.8528571428571
Vasai-Virar,4,9437.64,2359.41
Nadiad,7,8062.85,1151.8357142857144
Raichur,3,7818.17,2606.056666666667
Bhalswa Jahangir Pur,6,7364.51,1227.4183333333333
Srikakulam,5,7314.25,1462.85
Dharmavaram,6,4807.08,801.18
Bokaro,2,4537.7699999999995,2268.8849999999998
Mangalore,1,3211.74,3211.74
